,fips,CommNbr,Form Number,Gasident,GrossLoss,LeaseNumber,MasterYear,Net Loss,Recovered,Unique_ID,fips_state
20,48059,0.0,2662.0,203466.0,1402.0,82756.0,20130.0,1116.0,286.0,62427.0,480
21,48063,0.0,123.0,0.0,272.0,14931.0,2011.0,12.0,260.0,0.0,48
22,48065,0.0,10364.0,0.0,1063.0,52882.0,36216.0,842.0,221.0,125142.0,864
23,48067,0.0,821.0,124790.0,118.0,13177.0,4020.0,112.0,6.0,0.0,96
24,48071,0.0,4163.0,664658.0,294.0,306.0,14101.0,10.0,284.0,0.0,336
25,48073,0.0,9453.0,1434136.0,742.0,56058.0,30214.0,428.0,314.0,63238.0,720
26,48075,0.0,422.0,0.0,40.0,0.0,4028.0,38.0,2.0,0.0,96
27,48077,0.0,4782.0,168793.0,1379.0,147341.0,20133.0,541.0,838.0,0.0,480
28,48079,3462.0,37616.0,177490.0,6064.0,2614553.0,126835.0,2443.0,3621.0,378834.0,3024
29,48081,0.0,6293.0,0.0,923.0,32019.0,22140.0,346.0,577.0,125833.0,528
30,48083,0.0,4441.0,548818.0,1318.0,224324.0,24177.0,1278.0,40.0,0.0,576
31,48085,0.0,48.0,0.0,10000.0,0.0,4034.0,1282.0,8718.0,0.0,96
32,48089,0.0,5806.0,1221610.0,365.0,0.0,16102.0,345.0,20.0,0.0,384
33,48093,0.0,557.0,115345.0,51.0,0.0,6033.0,38.0,13.0,0.0,144
34,48095,0.0,5516.0,0.0,676.0,112312.0,16109.0,642.0,34.0,63405.0,384
35,48097,0.0,13243.0,0.0,3941.0,584077.0,52345.0,2915.0,1026.0,62506.0,1248
36,48103,9636.0,75938.0,165349.0,10758.0,2136299.0,269797.0,3239.0,7519.0,1005240.0,6432
37,48105,12830.0,157899.0,4536021.0,13970.0,2608089.0,505502.0,8018.0,5952.0,1827263.0,12048
38,48107,0.0,9116.0,0.0,1179.0,810715.0,24155.0,567.0,612.0,126498.0,576
39,48109,0.0,32938.0,8013131.0,4988.0,102282.0,86686.0,2643.0,2345.0,379950.0,2064
40,48115,0.0,25514.0,0.0,3179.0,2370283.0,90575.0,1872.0,1307.0,188294.0,2160
41,48121,0.0,22503.0,9602033.0,4197.0,99856.0,96642.0,1924.0,2273.0,313868.0,2304
42,48125,0.0,2529.0,0.0,383.0,544066.0,16104.0,377.0,6.0,0.0,384
43,48127,12104.0,85006.0,6691825.0,11342.0,767768.0,223493.0,7363.0,3979.0,886439.0,5328
44,48131,13700.0,20106.0,2938652.0,4348.0,129004.0,68436.0,3663.0,685.0,188791.0,1632
45,48133,1436.0,7408.0,610917.0,1639.0,226359.0,36202.0,846.0,793.0,0.0,864
