MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2015,1135,8,MEMORIAL PRODUCTION OPER. LLC,10/25/2015,Producer,LOVING,42225,0,0,Crude,4,0,4,Tank Battery,Equipment Failure,Other,None,,"31.847998, -103.495484","VAC TRUCK, DELINEATE & RESURFACE",BRUNSON-TENNECO -A-,DIMMITT (DELAWARE CONS)
2015,1179,7C,"PARSLEY ENERGY OPERATIONS, LLC",10/24/2015,Producer,REAGAN,18907,0,0,Crude,9,3,6,Tank Battery,Equipment Failure,Other,None,,"SEC 34, BLK C, A-768, L&SV RR CO","VAC TRUCK, WILL REMEDIATE IMPACTED SOI",BAST 34,SPRABERRY (TREND AREA) R 40 EXC
2015,1178,7C,HENRY RESOURCES LLC,10/24/2015,Producer,UPTON,17295,0,0,Crude,5,3,2,Valve,Equipment Failure,Other,None,,"SEC 25, BLK 41, T5S, T&P RR CO","TILLED, REMEDIATED",MELINDA,SPRABERRY (TREND AREA)
2015,1082,8,"RSP PERMIAN, LLC",10/24/2015,Producer,MIDLAND,38844,0,0,Crude,10,9,1,Tank Battery,Equipment Failure,Other,None,,"SEC 3, BLK 40, T-2-S","EXCAVATE, HAUL OFF, BACKFILL WITH NEW MATERIAL",SPANISH TRAIL,SPRABERRY (TREND AREA)
2015,1143,8,CALLON PETROLEUM OPERATING CO,10/24/2015,Producer,ANDREWS,38704,0,0,Crude,10,5,5,Tank Battery,Equipment Failure,Other,None,,"SEC 26, BLK 40, T1N; T&P RR CO","VAC TRUCK, TILL SOIL",BOHANNON26,SPRABERRY (TREND AREA)
2015,1349,7C,HENRY RESOURCES LLC,10/24/2015,Producer,CROCKETT,17707,0,0,Crude,10,9,1,Tank Battery,Equipment Failure,Other,None,,"SEC 33, BLK 07, UL","TILL, REMEDIATED",UNIVKEISHA,WORLD
2015,1548,2,ENCANA OIL & GAS(USA) INC.,10/23/2015,Producer,KARNES,9563,0,0,Crude,20,0,20,Flow Line,Equipment Failure,Other,None,,"28.9441, -98.0717","CONSTRUCTING A BERM, VAC TRUCK, SOIL REMEDIATION",NIESCHWIETZ UNIT,EAGLEVILLE (EAGLE FORD-2)
2015,1114,8,"PIONEER NATURAL RES. USA, INC.",10/23/2015,Producer,MARTIN,6462,0,0,Crude,140,0,140,Tank Battery,Act of God,Other,None,,"32.876954, -101.867875","EXCAVATED F& BLENDED WITH FRESH SOIL, BIOLOGICAL REMEDIATION AID","SNOWDEN, JOHN",SPRABERRY (TREND AREA)
2015,1459,8,ENERGEN RESOURCES CORPORATION,10/23/2015,Producer,GLASSCOCK,47436,0,0,Crude,30,25,5,Tank Battery,Equipment Failure,Other,None,,"31.685478, -101.442710","SHUT OUT HEATER, FIXED VALVE, PICKED UP FREE STANDING FLUID",SABINE A NS 35-38 01,SPRABERRY (TREND AREA)
2015,1423,8,LARIO OIL & GAS COMPANY,10/23/2015,Producer,CRANE,0,59161,0,Crude,123,0,123,Tank Battery,Act of God,Installed New Equipment,None,,"SEC 8, BLK 32, PSL, TUBB, JB A-1148",NEW TANK BATTERIES INSTALLED,"TUBB, J. B. ""D"" -A/C -2",SAND HILLS (MCKNIGHT)
